[2020-06-17T13:52:23.775965-03:00] name.WARNING: Foo [] []
[2020-06-17T13:52:23.776363-03:00] name.ERROR: Bar [] []
[2020-06-17T13:53:49.208469-03:00] App_bytecell.WARNING: Foo [] []
[2020-06-17T13:53:49.208874-03:00] App_bytecell.ERROR: Bar [] []
[2020-06-17T13:53:49.741694-03:00] App_bytecell.WARNING: Foo [] []
[2020-06-17T13:53:49.741941-03:00] App_bytecell.ERROR: Bar [] []
[2020-06-17T13:53:49.893901-03:00] App_bytecell.WARNING: Foo [] []
[2020-06-17T13:53:49.894361-03:00] App_bytecell.ERROR: Bar [] []
[2020-06-17T13:54:09.791720-03:00] App_bytecell.WARNING: Foo [] []
[2020-06-17T13:54:09.792123-03:00] App_bytecell.ERROR: Bar [] []
[2020-06-17T13:54:52.450456-03:00] App_bytecell.INFO: listo todas las peliculas [] []
[2020-06-17T13:55:35.306445-03:00] App_bytecell.INFO: listo todas las peliculas [] []
[2020-06-17T15:15:43.293118-03:00] App_bytecell.INFO: listo todas las peliculas [] []
[2020-06-17T15:15:44.026899-03:00] App_bytecell.INFO: listo todas las peliculas [] []
[2020-06-17T15:15:44.241463-03:00] App_bytecell.INFO: listo todas las peliculas [] []
[2020-06-17T15:15:44.419821-03:00] App_bytecell.INFO: listo todas las peliculas [] []
[2020-06-17T15:15:44.578756-03:00] App_bytecell.INFO: listo todas las peliculas [] []
[2020-06-17T15:15:44.754163-03:00] App_bytecell.INFO: listo todas las peliculas [] []
[2020-06-17T15:15:44.907516-03:00] App_bytecell.INFO: listo todas las peliculas [] []
[2020-06-17T15:15:45.066684-03:00] App_bytecell.INFO: listo todas las peliculas [] []
[2020-06-17T15:15:45.209842-03:00] App_bytecell.INFO: listo todas las peliculas [] []
[2020-06-17T15:15:45.354822-03:00] App_bytecell.INFO: listo todas las peliculas [] []
[2020-06-17T15:15:45.499023-03:00] App_bytecell.INFO: listo todas las peliculas [] []
[2020-06-17T15:15:45.660716-03:00] App_bytecell.INFO: listo todas las peliculas [] []
[2020-06-17T15:15:45.801837-03:00] App_bytecell.INFO: listo todas las peliculas [] []
[2020-06-17T20:26:16.963765-03:00] App_bytecell.INFO: listo todas las peliculas [] []
[2020-06-18T12:23:59.105429-03:00] App_bytecell.INFO: listo todas las Producto [] []
[2020-06-18T13:23:36.665314-03:00] App_bytecell.INFO: listo el contenido de Producto [] []
[2020-06-18T13:23:37.295883-03:00] App_bytecell.INFO: listo el contenido de Producto [] []
[2020-06-18T13:24:18.156156-03:00] App_bytecell.INFO: listo el contenido de Persona [] []
[2020-06-18T14:10:51.342751-03:00] App_bytecell.INFO: obtuvo el id 1 de Persona [] []
[2020-06-18T14:10:56.371088-03:00] App_bytecell.INFO: obtuvo el id 36342603 de Persona [] []
[2020-06-18T14:21:49.874707-03:00] App_bytecell.INFO: obtuvo el id 36342603 de Persona [] []
[2020-06-18T14:21:50.244855-03:00] App_bytecell.INFO: obtuvo el id 36342603 de Persona [] []
[2020-06-18T14:24:30.536399-03:00] App_bytecell.INFO: obtuvo el id nro_doc de Persona [] []
[2020-06-18T14:24:31.070645-03:00] App_bytecell.INFO: obtuvo el id nro_doc de Persona [] []
[2020-06-18T14:24:31.224766-03:00] App_bytecell.INFO: obtuvo el id nro_doc de Persona [] []
[2020-06-18T14:24:31.384195-03:00] App_bytecell.INFO: obtuvo el id nro_doc de Persona [] []
[2020-06-18T14:24:34.682056-03:00] App_bytecell.INFO: obtuvo el id nro_doc de Persona [] []
[2020-06-18T14:24:36.305288-03:00] App_bytecell.INFO: obtuvo el id nro_doc de Persona [] []
[2020-06-18T18:49:53.136658-03:00] App_bytecell.INFO: listo el contenido de Persona [] []
[2020-06-18T21:32:03.260140-03:00] App_bytecell.INFO: listo el contenido de Persona [] []
[2020-06-18T21:32:04.116844-03:00] App_bytecell.INFO: listo el contenido de Persona [] []
[2020-06-19T00:53:28.870319-03:00] App_bytecell.INFO: listo el contenido de Persona [] []
[2020-06-19T00:53:32.045172-03:00] App_bytecell.INFO: listo el contenido de Persona [] []
[2020-06-19T01:03:00.743836-03:00] App_bytecell.INFO: listo el contenido de Persona [] []
[2020-06-19T01:12:59.982153-03:00] App_bytecell.INFO: listo el contenido de Persona [] []
[2020-06-19T01:36:27.440861-03:00] App_bytecell.INFO: listo el contenido de Producto [] []
[2020-06-19T02:07:02.282815-03:00] App_bytecell.INFO: listo el contenido de Persona [] []
[2020-06-19T02:13:34.198411-03:00] App_bytecell.INFO: listo el contenido de Categoria [] []
[2020-06-19T02:53:40.550390-03:00] App_bytecell.INFO: listo el contenido de Categoria [] []
[2020-06-19T02:59:18.760636-03:00] App_bytecell.INFO: listo el contenido de Categoria [] []
[2020-06-19T02:59:20.289593-03:00] App_bytecell.INFO: listo el contenido de Categoria [] []
[2020-06-19T02:59:21.012983-03:00] App_bytecell.INFO: listo el contenido de Categoria [] []
[2020-06-19T02:59:21.215299-03:00] App_bytecell.INFO: listo el contenido de Categoria [] []
[2020-06-19T02:59:21.407992-03:00] App_bytecell.INFO: listo el contenido de Categoria [] []
[2020-06-19T02:59:24.836450-03:00] App_bytecell.INFO: listo el contenido de Categoria [] []
[2020-06-19T02:59:25.008997-03:00] App_bytecell.INFO: listo el contenido de Categoria [] []
[2020-06-19T02:59:25.194939-03:00] App_bytecell.INFO: listo el contenido de Categoria [] []
[2020-06-19T02:59:27.717280-03:00] App_bytecell.INFO: listo el contenido de Categoria [] []
[2020-06-19T02:59:27.886463-03:00] App_bytecell.INFO: listo el contenido de Categoria [] []
[2020-06-19T02:59:28.122849-03:00] App_bytecell.INFO: listo el contenido de Categoria [] []
[2020-06-19T02:59:28.341811-03:00] App_bytecell.INFO: listo el contenido de Categoria [] []
[2020-06-19T02:59:28.674473-03:00] App_bytecell.INFO: listo el contenido de Categoria [] []
[2020-06-19T02:59:28.833387-03:00] App_bytecell.INFO: listo el contenido de Categoria [] []
[2020-06-19T03:13:03.577543-03:00] App_bytecell.INFO: listo el contenido de Categoria [] []
[2020-06-19T03:13:08.001103-03:00] App_bytecell.INFO: listo el contenido de Categoria [] []
[2020-06-19T03:13:08.510802-03:00] App_bytecell.INFO: listo el contenido de Categoria [] []
[2020-06-19T03:13:30.753538-03:00] App_bytecell.INFO: listo el contenido de Categoria [] []
[2020-06-19T03:19:03.646847-03:00] App_bytecell.INFO: listo el contenido de Categoria [] []
[2020-06-19T12:08:39.039531-03:00] App_bytecell.INFO: listo el contenido de Categoria [] []
[2020-06-19T14:13:04.885751-03:00] App_bytecell.INFO: listo el contenido de Detalle [] []
[2020-06-19T14:17:01.413900-03:00] App_bytecell.INFO: listo el contenido de Producto [] []
[2020-06-19T14:17:01.550769-03:00] App_bytecell.INFO: listo el contenido de Producto [] []
[2020-06-19T14:19:10.005257-03:00] App_bytecell.INFO: listo el contenido de Venta [] []
[2020-06-19T14:19:11.149616-03:00] App_bytecell.INFO: listo el contenido de Venta [] []
[2020-06-19T14:19:11.385871-03:00] App_bytecell.INFO: listo el contenido de Venta [] []
[2020-06-19T14:19:11.565300-03:00] App_bytecell.INFO: listo el contenido de Venta [] []
[2020-06-19T15:12:13.619262-03:00] App_bytecell.INFO: listo el contenido de Venta [] []
[2020-06-19T15:12:27.477275-03:00] App_bytecell.INFO: listo el contenido de Persona [] []
[2020-06-19T15:12:39.997032-03:00] App_bytecell.INFO: listo el contenido de Detalle [] []
[2020-06-19T16:17:16.060130-03:00] App_bytecell.INFO: listo el contenido de Persona [] []
[2020-06-19T16:17:44.029538-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-19T16:28:00.221206-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-19T16:28:05.565205-03:00] App_bytecell.INFO: listo el contenido de Persona [] []
[2020-06-19T16:29:27.969355-03:00] App_bytecell.INFO: listo el contenido de Persona [] []
[2020-06-19T16:29:30.971444-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-19T16:29:31.435259-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-20T21:06:27.007995-03:00] App_bytecell.INFO: listo el contenido de Persona [] []
[2020-06-20T21:06:40.205376-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-20T21:06:41.058434-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-20T21:07:16.957222-03:00] App_bytecell.INFO: listo el contenido de Producto [] []
[2020-06-20T21:07:17.079806-03:00] App_bytecell.INFO: listo el contenido de Producto [] []
[2020-06-20T23:00:41.457849-03:00] App_bytecell.INFO: listo el contenido de Producto [] []
[2020-06-21T00:21:00.795170-03:00] App_bytecell.INFO: listo el contenido de Persona [] []
[2020-06-21T00:21:02.137846-03:00] App_bytecell.INFO: listo el contenido de Persona [] []
[2020-06-21T00:21:05.225765-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-21T00:21:09.420511-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-21T00:22:29.058378-03:00] App_bytecell.INFO: listo el contenido de Categoria [] []
